iter	RMSE
0	0.9709605274
1	0.9595104479
2	0.9506035968
3	0.9376495993
4	0.9283324022
5	0.9183844243
6	0.9084422931
7	0.900524598
8	0.8927163278
9	0.8855937836
10	0.8791991005
11	0.8711868175
12	0.8633917454
13	0.8562812979
14	0.8493786016
15	0.8410871263
16	0.8367161669
17	0.8272616638
18	0.8195069069
19	0.8132691561
20	0.8066395084
21	0.8006914418
22	0.7932745331
23	0.7860942666
24	0.7785142617
25	0.7704734443
26	0.7631182802
27	0.7563359962
28	0.7501575195
29	0.7450601461
30	0.7389311383
31	0.7314729243
32	0.7252751464
33	0.7199021412
34	0.7144125119
35	0.7092556842
36	0.7031807942
37	0.7004541142
38	0.6933038927
39	0.6888485358
40	0.6819624013
41	0.6761538894
42	0.6708285447
43	0.6650988279
44	0.6605599134
45	0.6546027771
46	0.6499567961
47	0.646420836
48	0.6415414413
49	0.6360937825
50	0.6311326479
51	0.6273559633
52	0.6210218066
53	0.6167098193
54	0.6124287724
55	0.6082994075
56	0.6048039122
57	0.6008645203
58	0.5975896101
59	0.5928336105
60	0.5876760884
61	0.5822002901
62	0.57879801
63	0.5725681659
64	0.5695757313
65	0.5634191048
66	0.5598171756
67	0.5568081876
68	0.5525184711
69	0.5482930775
70	0.5441808989
71	0.5394405396
72	0.5358714926
73	0.5321739859
74	0.5281739494
75	0.5233709256
76	0.5196913086
77	0.5161830254
78	0.5133812114
79	0.5087603514
80	0.5049969123
81	0.5017088364
82	0.4989414674
83	0.4938857145
84	0.489917966
85	0.4863383601
86	0.4851183596
87	0.4816626446
88	0.4787856382
89	0.4742271346
90	0.4711726789
91	0.4669649975
92	0.4647695342
93	0.4602066945
94	0.4591948584
95	0.4565839063
96	0.452461371
97	0.4489717739
98	0.4463264887
99	0.4422365148
100	0.4396012567
101	0.4372178298
102	0.4356091412
103	0.4333966914
104	0.4292406085
105	0.4258372595
106	0.4224953155
107	0.4185498655
108	0.4153334639
109	0.4128928531
110	0.4102825365
111	0.4081106784
112	0.4045505012
113	0.4015564514
114	0.3978665761
115	0.3940927943
116	0.391648771
117	0.3883204943
118	0.3835584607
119	0.3815070858
120	0.3794642283
121	0.3770463256
122	0.3735880392
123	0.370278325
124	0.3681998901
125	0.3649238411
126	0.3611176176
127	0.3600409932
128	0.355940396
129	0.3534498277
130	0.3513394165
131	0.3477172266
132	0.3450697937
133	0.3418085199
134	0.3396667585
135	0.3378655821
136	0.3356929422
137	0.3345220675
138	0.3318257722
139	0.3285522027
140	0.3266476963
141	0.32376988
142	0.3206678711
143	0.3184163014
144	0.3152684589
145	0.3135024508
146	0.3102301449
147	0.3072736574
148	0.3042682184
149	0.3009143783
150	0.2982505173
151	0.2961431303
152	0.2929514108
153	0.2897599739
154	0.2872561889
155	0.2847757984
156	0.2824475479
157	0.2810465744
158	0.2788224586
159	0.2771816147
160	0.2749493254
161	0.2735940495
162	0.2705522159
163	0.2682014832
164	0.2661041485
165	0.2643464442
166	0.2626739132
167	0.2612402857
168	0.2590705332
169	0.2567430107
170	0.2548194557
171	0.2527416913
172	0.2510257309
173	0.249259221
174	0.2475929948
175	0.2465061016
176	0.244779761
177	0.2431543042
178	0.2409107621
179	0.2391127471
180	0.2365822064
181	0.2348487309
182	0.2329855546
183	0.2316150271
184	0.2293609007
185	0.2280378031
186	0.2265422941
187	0.2253405852
188	0.2234827359
189	0.2223078185
190	0.2204357321
191	0.2189152209
192	0.2166899939
193	0.2150745757
194	0.2131078349
195	0.2114346707
196	0.2106164414
197	0.2097460641
198	0.2079435432
199	0.2059304662
200	0.204077344
201	0.2030190434
202	0.2017864481
203	0.2007889686
204	0.1994733969
205	0.1976630495
206	0.1960518813
207	0.1951568233
208	0.1935913261
209	0.1920048181
210	0.1903615866
211	0.1888434588
212	0.1871466932
213	0.185389954
214	0.1839581038
215	0.1824048003
216	0.1814241086
217	0.1800380979
218	0.1786292329
219	0.1776659571
220	0.1759538159
221	0.1746166871
222	0.1736517339
223	0.1721923267
224	0.1707864651
225	0.1700220327
226	0.1683525494
227	0.1672245616
228	0.1655615013
229	0.1643691099
230	0.1631641179
