iter	Passed	Remaining
0	2	2403
1	3	1696
2	5	1684
3	7	1950
4	10	2145
5	16	2758
6	19	2745
7	20	2510
8	22	2488
9	25	2484
10	27	2469
11	29	2463
12	32	2447
13	34	2432
14	36	2420
15	39	2422
16	41	2377
17	43	2379
18	45	2331
19	47	2320
20	50	2332
21	52	2340
22	55	2338
23	57	2324
24	59	2324
25	61	2309
26	64	2310
27	66	2312
28	69	2315
29	71	2313
30	74	2314
31	76	2318
32	78	2310
33	81	2303
34	83	2301
35	85	2300
36	88	2299
37	89	2259
38	91	2257
39	93	2249
40	95	2243
41	98	2246
42	101	2249
43	103	2242
44	105	2238
45	108	2242
46	110	2240
47	112	2236
48	115	2238
49	117	2237
50	120	2239
51	121	2223
52	124	2221
53	126	2220
54	139	2393
55	142	2395
56	144	2390
57	146	2387
58	149	2389
59	152	2390
60	155	2389
61	157	2389
62	160	2389
63	163	2390
64	166	2394
65	169	2393
66	172	2396
67	174	2393
68	177	2389
69	179	2387
70	182	2388
71	185	2391
72	188	2388
73	190	2387
74	193	2385
75	196	2383
76	198	2381
77	201	2380
78	204	2378
79	206	2373
80	208	2370
81	211	2365
82	213	2364
83	216	2362
84	219	2362
85	222	2360
86	222	2338
87	225	2335
88	227	2331
89	230	2328
90	232	2326
91	235	2322
92	237	2316
93	239	2312
94	240	2295
95	243	2289
96	245	2286
97	248	2289
98	251	2286
99	253	2280
100	255	2275
101	257	2271
102	260	2268
103	263	2265
104	265	2262
105	267	2256
106	269	2250
107	271	2244
108	274	2241
109	276	2236
110	278	2233
111	281	2228
112	283	2223
113	285	2219
114	287	2216
115	290	2213
116	292	2210
117	295	2209
118	298	2206
119	300	2201
120	302	2198
121	305	2197
122	307	2194
123	310	2192
124	312	2189
125	315	2185
126	317	2182
127	319	2177
128	321	2173
129	324	2170
130	326	2165
131	328	2162
132	331	2159
133	333	2156
134	335	2152
135	338	2147
136	340	2144
137	342	2140
138	344	2135
139	347	2132
140	349	2130
141	352	2127
142	354	2122
143	356	2119
144	359	2116
145	361	2114
146	363	2111
147	366	2107
148	368	2102
149	370	2099
150	372	2095
151	375	2092
152	377	2089
153	379	2087
154	382	2084
155	384	2082
156	387	2082
157	389	2078
158	392	2074
159	394	2072
160	397	2069
161	399	2066
162	401	2061
163	403	2057
164	406	2055
165	408	2052
166	410	2048
167	413	2045
168	415	2042
169	417	2038
170	429	2081
171	431	2077
172	433	2074
173	436	2071
174	439	2070
175	441	2065
176	443	2063
177	446	2061
178	448	2058
179	450	2054
180	453	2050
181	455	2048
182	458	2045
183	460	2041
184	462	2038
185	464	2034
186	466	2029
187	469	2026
188	471	2022
189	473	2020
190	476	2017
191	478	2012
192	480	2009
193	482	2005
